Japanese,English,Sentence,Translation
People:
わたし [Watashi],I,わたしはいまからおふろにはいります。[Watashi wa ima kara ofuro ni hairimasu],I will go in the tub from now
がくせい [Gakusei],Student,わたしはがくせいです。[watashi wa gakusei desu],I am a student.
せんせい [Sensei],Teacher,わたしの父はせんせいです。[Watashi no chichi wa sensei desu],My father is a teacher.
ともだち [Tomodachi],Friend,かれはわたしのともだちです。[kare wa watashi no tomodachi desu],He is a friend of mine.
,,,
,,,
Body Parts:
かお [Kao],Face,,
かみ [Kami],Hair,,
あたま [Atama],Head,,
みみ [Mimi],Ear,,
め [me],Eye,,
はな [Hana],Nose,,
Numbers:
,,,
,,,
